cell_id,cell_type
1,Tnaive.CM_CD4.
2,Tnaive.CM_CD4.
3,Tnaive.CM_CD8.
4,Tregs.
5,Trm_Th1.Th17.
6,Tem.emra_CD8.
7,Trm.em_CD8.
8,Tem.emra_CD8.
9,Tnaive.CM_CD4.
10,Tfh.
11,Teffector.EM_CD4.
12,Tregs.
13,Tnaive.CM_CD4.
14,Tfh.
15,Tnaive.CM_CD4.
16,Tregs.
17,Teffector.EM_CD4.
18,Cycling.T.NK.
19,Tfh.
20,Trm_gut_CD8.
21,Tnaive.CM_CD4.
22,Trm_gut_CD8.
23,Tregs.
24,Tfh.
25,Tfh.
26,Tgd_CRTAM..
27,Tnaive.CM_CD8.
28,Tnaive.CM_CD4.
29,Trm.em_CD8.
30,Tnaive.CM_CD4.
31,Tregs.
32,Tgd_CRTAM..
33,Tfh.
34,Tem.emra_CD8.
35,Tem.emra_CD8.
36,Trm.em_CD8.
37,Tnaive.CM_CD8.
38,Tgd_CRTAM..
39,Tnaive.CM_CD4.
40,Tregs.
41,Tnaive.CM_CD4.
42,Tnaive.CM_CD4.
43,Trm_Th1.Th17.
44,MAIT.
45,Tnaive.CM_CD4.
46,Tnaive.CM_CD4.
47,Tfh.
48,Tnaive.CM_CD8.
49,Trm_Th1.Th17.
50,Teffector.EM_CD4.
51,T_CD4.CD8.
52,Tfh.
53,Tnaive.CM_CD4.
54,Tnaive.CM_CD8.
55,Tregs.
56,Tnaive.CM_CD8.
57,Trm_gut_CD8.
58,Tfh.
59,Tnaive.CM_CD4.
60,Tnaive.CM_CD8.
61,Tfh.
62,Tem.emra_CD8.
63,Trm_Th1.Th17.
64,Tregs.
65,Teffector.EM_CD4.
66,Tem.emra_CD8.
67,Tnaive.CM_CD8.
68,Tfh.
69,Tnaive.CM_CD4.
70,Tfh.
71,Tregs.
72,Tfh.
73,Tgd_CRTAM..
74,Tfh.
75,Trm_gut_CD8.
76,Trm_Th1.Th17.
77,Tnaive.CM_CD4.
78,Tnaive.CM_CD8.
79,Tfh.
80,Tnaive.CM_CD4.
81,Trm_Th1.Th17.
82,Tnaive.CM_CD4.
83,Tgd_CRTAM..
84,Trm_gut_CD8.
85,Trm_Th1.Th17.
86,Tnaive.CM_CD8.
87,Tnaive.CM_CD4.
88,Trm_Th1.Th17.
89,Tregs.
90,Trm.em_CD8.
91,Tnaive.CM_CD8.
92,Tfh.
93,Tnaive.CM_CD4.
94,Tfh.
95,Tnaive.CM_CD4.
96,Tfh.
97,Tnaive.CM_CD4.
98,Tregs.
99,Tnaive.CM_CD4.
100,Tem.emra_CD8.
101,Tnaive.CM_CD4.
102,Tfh.
103,Tregs.
104,Tnaive.CM_CD4.
105,Tfh.
106,Tfh.
107,Trm_Th1.Th17.
108,Tfh.
109,Tfh.
110,Trm.em_CD8.
111,Tnaive.CM_CD8.
112,Tregs.
113,Tnaive.CM_CD4.
114,Tem.emra_CD8.
115,Tnaive.CM_CD8.
116,Tnaive.CM_CD4.
117,Tgd_CRTAM..
118,Trm_Th1.Th17.
119,Tnaive.CM_CD4.
120,Tregs.
121,Tfh.
122,Tem.emra_CD8.
123,Trm.em_CD8.
124,Tnaive.CM_CD4.
125,Tem.emra_CD8.
126,Trm_gut_CD8.
127,Tnaive.CM_CD8.
128,Tregs.
129,Tgd_CRTAM..
130,Trm.em_CD8.
131,Tfh.
132,Tnaive.CM_CD4.
133,Tfh.
134,Tregs.
135,Tnaive.CM_CD4.
136,Tnaive.CM_CD4.
137,Tnaive.CM_CD4.
138,Trm.em_CD8.
139,MAIT.
140,MAIT.
141,Tnaive.CM_CD4.
142,Tnaive.CM_CD8.
143,Tnaive.CM_CD4.
144,Tregs.
145,Tem.emra_CD8.
146,Tregs.
147,Tnaive.CM_CD4.
148,Tnaive.CM_CD4.
149,Tregs.
150,Tfh.
151,Tem.emra_CD8.
152,Tfh.
153,Tregs.
154,Tfh.
155,Tnaive.CM_CD8.
156,Tnaive.CM_CD4.
157,Trm_Th1.Th17.
158,Trm_Th1.Th17.
159,Tem.emra_CD8.
160,Tnaive.CM_CD8.
161,Trm.em_CD8.
162,MAIT.
163,Tnaive.CM_CD4.
164,Tfh.
