cell_id,cell_type
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
b.cells,b.cells
