"";"gene_ID";"gene";"X3"
"1";"LOC122756710";"LOC122756710";"Gene Expression"
"2";"LOC6578174";"Ufd4";"Gene Expression"
"3";"LOC122757260";"LOC122757260";"Gene Expression"
"4";"LOC26528243";"LOC26528243";"Gene Expression"
"5";"LOC6578175";"Mdh1";"Gene Expression"
"6";"LOC6578176";"CG4968";"Gene Expression"
"7";"LOC6578177";"CG5056";"Gene Expression"
"8";"LOC26527310";"CG13138";"Gene Expression"
"9";"LOC6578178";"CG5390";"Gene Expression"
"10";"LOC6578179";"Hand";"Gene Expression"
"11";"LOC6578180";"Usp14";"Gene Expression"
"12";"LOC116803876";"LOC116803876";"Gene Expression"
"13";"LOC6578181";"REPTOR-BP";"Gene Expression"
"14";"LOC6578182";"Rsf1";"Gene Expression"
"15";"LOC6578183";"l(2)SH0834";"Gene Expression"
"16";"LOC6578184";"Pten";"Gene Expression"
"17";"LOC122757482";"LOC122757482";"Gene Expression"
"18";"LOC6578185";"Utx";"Gene Expression"
"19";"LOC116803810";"LOC116803810";"Gene Expression"
"20";"LOC6578186";"gus";"Gene Expression"
"21";"LOC6578187";"CG5381";"Gene Expression"
"22";"LOC116803838";"LOC116803838";"Gene Expression"
"23";"LOC122757718";"LOC122757718";"Gene Expression"
"24";"LOC6578188";"nmd";"Gene Expression"
"25";"LOC122757598";"LOC122757598";"Gene Expression"
"26";"LOC6578189";"mthl15";"Gene Expression"
"27";"LOC116803841";"LOC116803841";"Gene Expression"
"28";"LOC122757581";"LOC122757581";"Gene Expression"
"29";"LOC26528692";"LOC26528692";"Gene Expression"
"30";"LOC6578192";"CG4995";"Gene Expression"
"31";"LOC122757271";"LOC122757271";"Gene Expression"
"32";"LOC122757281";"LOC122757281";"Gene Expression"
"33";"LOC6578193";"CG4972";"Gene Expression"
"34";"LOC122757565";"LOC122757565";"Gene Expression"
"35";"LOC122757561";"LOC122757561";"Gene Expression"
"36";"LOC6578195";"LOC6578195";"Gene Expression"
"37";"LOC6578196";"CG5676";"Gene Expression"
"38";"LOC6578197";"Npc1a";"Gene Expression"
"39";"LOC6578198";"Ror";"Gene Expression"
"40";"LOC26528010";"AGO3";"Gene Expression"
"41";"LOC122757170";"mRpS7";"Gene Expression"
"42";"LOC122757151";"LOC122757151";"Gene Expression"
"43";"LOC26528729";"LOC26528729";"Gene Expression"
"44";"LOC6578199";"da";"Gene Expression"
"45";"LOC6578200";"Cdk1";"Gene Expression"
"46";"LOC116804732";"LOC116804732";"Gene Expression"
"47";"LOC122757290";"LOC122757290";"Gene Expression"
"48";"LOC122756782";"LOC122756782";"Gene Expression"
